,video_id,window_size,step_size,vector_method,clustering_params,vectorizing_params,similarity_method,is_min_thresh,algorithm,n_clusters,sim_thresh,sim_filter,accurrcy_shift
0,2mC1uqwEmWQ,120,20,lda,,"{""alpha"":1e-2,""eta"":0.5e-2,'chunksize':100,'minimum_probability':0.0,'passes':2}",jensen_shannon,FALSE,spectral_clustering,14,1,,15
1,2mC1uqwEmWQ,120,20,lda,,"{""alpha"":1e-2,""eta"":0.5e-2,'chunksize':100,'minimum_probability':0.0,'passes':2}",jensen_shannon,FALSE,spectral_clustering,14,1,"['median',(2,2)]",15
2,2mC1uqwEmWQ,120,20,lda,,"{""alpha"":1e-2,""eta"":0.5e-2,'chunksize':20,'minimum_probability':0.0,'passes':2}",jensen_shannon,FALSE,spectral_clustering,14,1,,15
3,2mC1uqwEmWQ,120,20,lda,,"{""alpha"":1e-2,""eta"":0.5e-2,'chunksize':20,'minimum_probability':0.0,'passes':2}",jensen_shannon,FALSE,spectral_clustering,14,1,"['median',(2,2)]",15
4,2mC1uqwEmWQ,120,20,lda,,"{""alpha"":1e-2,""eta"":0.5e-2,'chunksize':20,'minimum_probability':0.0,'passes':10}",jensen_shannon,FALSE,spectral_clustering,14,1,,15
5,2mC1uqwEmWQ,120,20,lda,,"{""alpha"":1e-2,""eta"":0.5e-2,'chunksize':20,'minimum_probability':0.0,'passes':10}",jensen_shannon,FALSE,spectral_clustering,14,1,"['median',(2,2)]",15
6,2mC1uqwEmWQ,120,20,lda,,"{""alpha"":1e-5,""eta"":0.5e-2,'chunksize':20,'minimum_probability':0.0,'passes':10}",jensen_shannon,FALSE,spectral_clustering,14,1,,15
7,2mC1uqwEmWQ,120,20,lda,,"{""alpha"":1e-5,""eta"":0.5e-2,'chunksize':20,'minimum_probability':0.0,'passes':10}",jensen_shannon,FALSE,spectral_clustering,14,1,"['median',(2,2)]",15
8,2mC1uqwEmWQ,120,20,lda,,"{""alpha"":1e-5,""eta"":0.5e-2,'chunksize':10,'minimum_probability':0.0,'passes':10}",jensen_shannon,FALSE,spectral_clustering,14,1,,15
9,2mC1uqwEmWQ,120,20,lda,,"{""alpha"":1e-5,""eta"":0.5e-2,'chunksize':10,'minimum_probability':0.0,'passes':10}",jensen_shannon,FALSE,spectral_clustering,14,1,"['median',(2,2)]",15
10,2mC1uqwEmWQ,120,20,lda,,"{""alpha"":0.5e-5,""eta"":0.5e-2,'chunksize':10,'minimum_probability':0.0,'passes':10}",jensen_shannon,FALSE,spectral_clustering,14,1,,15
11,2mC1uqwEmWQ,120,20,lda,,"{""alpha"":0.5e-5,""eta"":0.5e-2,'chunksize':10,'minimum_probability':0.0,'passes':10}",jensen_shannon,FALSE,spectral_clustering,14,1,"['median',(2,2)]",15
12,2mC1uqwEmWQ,120,20,lda,,"{""alpha"":0.5e-5,""eta"":0.5e-1,'chunksize':10,'minimum_probability':0.0,'passes':10}",jensen_shannon,FALSE,spectral_clustering,14,1,,15
13,2mC1uqwEmWQ,120,20,lda,,"{""alpha"":0.5e-5,""eta"":0.5e-1,'chunksize':10,'minimum_probability':0.0,'passes':10}",jensen_shannon,FALSE,spectral_clustering,14,1,"['median',(2,2)]",15
14,2mC1uqwEmWQ,120,20,lda,,"{""alpha"":1e-2,""eta"":0.5e-2,'chunksize':100,'minimum_probability':0.0,'passes':2}",cosine,TRUE,spectral_clustering,14,0.4,,15
15,2mC1uqwEmWQ,120,20,lda,,"{""alpha"":1e-2,""eta"":0.5e-2,'chunksize':100,'minimum_probability':0.0,'passes':2}",cosine,TRUE,spectral_clustering,14,0.4,"['median',(2,2)]",15
16,2mC1uqwEmWQ,120,20,lda,,"{""alpha"":1e-2,""eta"":0.5e-2,'chunksize':20,'minimum_probability':0.0,'passes':2}",cosine,TRUE,spectral_clustering,14,0.4,,15
17,2mC1uqwEmWQ,120,20,lda,,"{""alpha"":1e-2,""eta"":0.5e-2,'chunksize':20,'minimum_probability':0.0,'passes':2}",cosine,TRUE,spectral_clustering,14,0.4,"['median',(2,2)]",15
18,2mC1uqwEmWQ,120,20,lda,,"{""alpha"":1e-2,""eta"":0.5e-2,'chunksize':20,'minimum_probability':0.0,'passes':10}",cosine,TRUE,spectral_clustering,14,0.4,,15
19,2mC1uqwEmWQ,120,20,lda,,"{""alpha"":1e-2,""eta"":0.5e-2,'chunksize':20,'minimum_probability':0.0,'passes':10}",cosine,TRUE,spectral_clustering,14,0.4,"['median',(2,2)]",15
20,2mC1uqwEmWQ,120,20,lda,,"{""alpha"":1e-5,""eta"":0.5e-2,'chunksize':20,'minimum_probability':0.0,'passes':10}",cosine,TRUE,spectral_clustering,14,0.4,,15
21,2mC1uqwEmWQ,120,20,lda,,"{""alpha"":1e-5,""eta"":0.5e-2,'chunksize':20,'minimum_probability':0.0,'passes':10}",cosine,TRUE,spectral_clustering,14,0.4,"['median',(2,2)]",15
22,2mC1uqwEmWQ,120,20,lda,,"{""alpha"":1e-5,""eta"":0.5e-2,'chunksize':10,'minimum_probability':0.0,'passes':10}",cosine,TRUE,spectral_clustering,14,0.4,,15
23,2mC1uqwEmWQ,120,20,lda,,"{""alpha"":1e-5,""eta"":0.5e-2,'chunksize':10,'minimum_probability':0.0,'passes':10}",cosine,TRUE,spectral_clustering,14,0.4,"['median',(2,2)]",15
24,2mC1uqwEmWQ,120,20,lda,,"{""alpha"":0.5e-5,""eta"":0.5e-2,'chunksize':10,'minimum_probability':0.0,'passes':10}",cosine,TRUE,spectral_clustering,14,0.4,,15
25,2mC1uqwEmWQ,120,20,lda,,"{""alpha"":0.5e-5,""eta"":0.5e-2,'chunksize':10,'minimum_probability':0.0,'passes':10}",cosine,TRUE,spectral_clustering,14,0.4,"['median',(2,2)]",15
26,2mC1uqwEmWQ,120,20,lda,,"{""alpha"":0.5e-5,""eta"":0.5e-1,'chunksize':10,'minimum_probability':0.0,'passes':10}",cosine,TRUE,spectral_clustering,14,0.4,,15
27,2mC1uqwEmWQ,120,20,lda,,"{""alpha"":0.5e-5,""eta"":0.5e-1,'chunksize':10,'minimum_probability':0.0,'passes':10}",cosine,TRUE,spectral_clustering,14,0.4,"['median',(2,2)]",15
28,MkiUBJcgdUY,120,20,lda,,"{""alpha"":1e-2,""eta"":0.5e-2,'chunksize':100,'minimum_probability':0.0,'passes':2}",jensen_shannon,FALSE,spectral_clustering,17,1,,15
29,MkiUBJcgdUY,120,20,lda,,"{""alpha"":1e-2,""eta"":0.5e-2,'chunksize':100,'minimum_probability':0.0,'passes':2}",jensen_shannon,FALSE,spectral_clustering,17,1,"['median',(2,2)]",15
30,MkiUBJcgdUY,120,20,lda,,"{""alpha"":1e-2,""eta"":0.5e-2,'chunksize':20,'minimum_probability':0.0,'passes':2}",jensen_shannon,FALSE,spectral_clustering,17,1,,15
